,file,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],phase,playlist,umap_x,umap_y,spotify_id
0,/Users/jsgomezc/Data/psilocybin/audio/chacruna_baldwin/00-1Q44liueFrUtcMqR71vWBm- Stuart Dempster - Standing Waves- 1976.mp3,105.12781204761905,0.6678475442857144,0.02385193195,0.022135740854761905,0.09028002916666666,-33.540886538095236,0.3261881157142857,1.00497052,0.017459268078571427,0.07715279502380952,0.13106437238095237,0.2783910514285714,0.4305364069047619,0.5682111688095238,0.6899981240476191,0.7863025173809524,0.8735345340476192,0.9414203757142856,1.0079697445238094,1.0672024309523809,1.126731880952381,1.1854595285714287,1.2390327976190476,1.2935686476190476,1.3490267023809523,1.401306754761905,1.4429625357142857,1.4677245476190475,1.4752104642857142,1.4474276523809524,1.3703156428571428,1.2420456904761905,1.0764686952380953,0.9016756147619047,0.7382661788095238,0.5973801033333334,0.03112155639761905,0.010990183435,333.96320833333334,490.1743438095238,707.7054038095239,959.6293978571429,0.06383288371428571,557.9580328571428,4.129534347619047,172863.92795238097,3.858083007142857,65.62227791190476,-0.011966314983333334,0.5379150311904761,0.02747657375,40.10199726190476,-0.9261706390476192,-9.962981127142857,-12.655363729047618,-12.300675857142856,-2.146658980952381,0.4404055563809524,-4.585393677204761,-2.48061489452381,-3.5789955288095237,-6.418636547619048,-6.915758260714286,-1.103909469047619,0.23571378392857145,onset,chacruna_baldwin,-0.23187009,-3.156308,1Q44liueFrUtcMqR71vWBm
1,/Users/jsgomezc/Data/psilocybin/audio/chacruna_baldwin/01-1X9TmaFt15Yg9V34rvjbhX- Jon Hassell - Blues Nile.mp3,152.21816265,0.721235924,0.017848955935,0.015080618525,0.10067958685,-22.451797015,0.4458127805,1.001583422,0.030192858700000002,0.0696210333,0.1302499585,0.2738861515,0.4300609935,0.571651704,0.680428263,0.780061967,0.864527107,0.939372788,1.003753855,1.06235536,1.130818535,1.18155572,1.237330005,1.293182625,1.34336623,1.3917513449999999,1.432365865,1.460990365,1.46918918,1.44290662,1.36805489,1.240156035,1.075788215,0.9013075045000001,0.7383896365,0.5976829379999999,0.132247032825,0.0130940995565,232.6635547,311.09958500000005,492.0859635,819.2110665,0.11350538489999999,421.178647,3.7030983149999996,136430.69645,3.756727295,42.36251515,-0.029235212254999997,0.417034449,0.064929849245,38.8536062,-8.982196502499999,4.3861600075,3.853735895,1.4247236365,-6.2839056399999995,-10.4586392525,-11.5999536675,-5.0000014550000005,-0.56118850315,-4.7905907265000005,-6.065723942,-2.506884992,-2.37521262275,onset,chacruna_baldwin,1.4303117,-3.721142,1X9TmaFt15Yg9V34rvjbhX
2,/Users/jsgomezc/Data/psilocybin/audio/chacruna_baldwin/02-5RINRvcupIKAc3kM40SyP4- Mark Banning - Everlasting Moments.mp3,99.36816480851066,0.7026172870212766,0.0201163022,0.016487825274468085,0.06972170504255319,-53.40102669297872,1.00678406,1.0082807370212765,0.08932805144680851,0.07730089280851063,0.13063117382978723,0.27488287680851065,0.42383375170212767,0.5630613631914894,0.6832408055319148,0.7807017910638299,0.8655898019148937,0.9412906221276596,1.0043823968085106,1.0711632042553192,1.1264705723404256,1.1882118085106381,1.2445905872340426,1.3045072617021276,1.3550773872340427,1.4061061957446808,1.4425792361702128,1.475026159574468,1.485501178723404,1.4578450617021277,1.3837458723404257,1.256137829787234,1.090728885106383,0.9129261023404255,0.7448517863829787,0.6022184668085107,0.6257829412765957,0.1242742701787234,270.3564506382979,384.7911534042553,583.9710772340426,919.3289140425532,0.3935373269787234,502.1086506382979,3.7392314361702126,264554.57082978723,5.804320655319149,93.1614564574468,-0.21092115042553194,0.4702556180851064,0.38497967638297875,30.477700787234042,-3.0026894339148935,11.361847258723403,-7.048067493617022,0.8630051055319149,-11.148097068085107,-3.620927279829787,-6.495858497872341,-1.8997090025531913,-3.396181306042553,0.7263306934042554,-2.1210836210638297,2.4210075305744683,-0.19361595489361696,onset,chacruna_baldwin,0.81944597,-3.475643,5RINRvcupIKAc3kM40SyP4
3,/Users/jsgomezc/Data/psilocybin/audio/chacruna_baldwin/03-5YafdAyEYVePLz5QGCeD44- Gábor Szabó - Galatea's Guitar.mp3,84.79786772727272,0.7101202172727272,0.01611480109090909,0.014673029818181816,0.08865092736363636,-30.29700500909091,1.117890509090909,1.0808495454545455,0.14682508927272728,0.06582072681818182,0.14278981636363636,0.29860919636363636,0.45446744,0.6026069354545455,0.7344116609090908,0.8392923054545455,0.9295622145454545,1.0277655636363636,1.0726394727272728,1.1284447272727272,1.1910123,1.253513,1.312445690909091,1.3804415363636364,1.4398738,1.4990757454545454,1.5214529636363636,1.5715638363636364,1.5871721454545453,1.562340109090909,1.4895404181818181,1.3638061545454545,1.1955620545454546,1.0147850763636364,0.8259184772727273,0.6629994681818182,0.6524283827272727,0.11396814336363636,165.33590363636364,261.4538518181818,443.60183909090915,773.3279236363636,0.6448292072727273,390.0421309090909,3.4915625363636367,361846.72954545455,6.891572736363637,173.6504858181818,-0.6716727318181819,0.3605999381818182,0.6814437281818182,30.378923636363638,6.800365378454546,6.944038963636364,4.4260444727272725,1.1558308945454547,-5.4645446090909084,5.181458209090909,7.486068081818181,9.604780363636364,0.8166553818181819,3.7431038845454547,-0.8120967045454546,2.2903765000000003,4.049798481818182,onset,chacruna_baldwin,3.4485738,1.3190304,5YafdAyEYVePLz5QGCeD44
4,/Users/jsgomezc/Data/psilocybin/audio/chacruna_baldwin/04-5DKCrbivQkzlCifKgGi2Ox- David Crosby - Tamalpais High (At About 3).mp3,45.69542057142856,0.68407491,0.011408853457142858,0.009079718785714286,0.06410065542857143,-47.75440428571428,0.8250957671428572,1.062209,0.07371372685714285,0.07111414128571428,0.13953182428571428,0.29162411714285713,0.4494940514285714,0.5901240214285713,0.7132304742857143,0.8267693914285715,0.9173045557142857,0.9930671757142857,1.0555401857142857,1.1133318142857143,1.186758157142857,1.2598273285714288,1.3153618571428571,1.3723387999999999,1.4275828285714287,1.4780587142857142,1.5204102285714285,1.5612252142857144,1.5495184,1.5304283428571428,1.4592030714285715,1.3225390142857143,1.1443320571428572,0.9681684142857143,0.78998684,0.6416757985714285,0.27437604,0.062346716571428575,127.12538242857144,212.22240000000002,377.1749314285715,699.5074428571428,0.3390715671428572,348.7194871428572,3.787813071428572,326569.91857142857,7.173605571428571,107.19880342857142,-0.15223847714285713,0.3190335971428571,0.19792386428571426,25.576568285714284,9.14929422857143,16.96842857142857,3.657195,-7.093827757142857,-0.6646133628571429,2.6929755985714285,3.887655217142857,1.4432594142857142,0.6117068621428572,0.21666660000000001,-5.8325179857142855,0.5846235307142857,3.8145084857142857,peak,chacruna_baldwin,3.4305408,0.69270724,5DKCrbivQkzlCifKgGi2Ox
5,"/Users/jsgomezc/Data/psilocybin/audio/chacruna_baldwin/05-2gG3ivmsfylVXLyIJvLXyN- Alice Coltrane, Pharoah Sanders - Journey In Satchidananda.mp3",45.73475830769231,0.68414606,0.007972710184615385,0.006252417984615385,0.04685783753846154,-59.491895615384614,1.292873196923077,1.0233839923076924,0.13131106615384616,0.09740683307692308,0.14353344538461538,0.2964916615384615,0.4474879823076923,0.5895788953846154,0.7008871269230769,0.7943720653846154,0.8814183761538461,0.9474464692307693,1.0193483807692307,1.0817543692307692,1.1493202307692307,1.2068268153846153,1.2679936923076922,1.3162774153846153,1.3553362076923077,1.4177496846153848,1.465136053846154,1.4993969692307694,1.5063650846153847,1.4815484538461539,1.3950547076923077,1.2631529307692306,1.0995001384615384,0.9167874423076923,0.7522098407692308,0.6130123084615384,0.5473381855384616,0.14405488,148.69743,260.9431292307692,508.5997938461539,1085.5201661538463,0.5898911938461538,505.0113769230769,3.755274907692308,867414.916923077,6.564797138461539,95.37933692307692,-0.4383570907692308,0.4197165930769231,0.5513686515384616,16.32171223076923,11.642247692307693,9.189845076923076,6.827988238461538,-2.8021073784615385,7.327970983076923,12.121123569230768,-1.6799114146153846,0.7572020569230771,6.117277469230769,2.52046898,-5.6924820153846145,1.3508394023076922,4.801474250769231,peak,chacruna_baldwin,1.4200752,-2.4790652,2gG3ivmsfylVXLyIJvLXyN
6,"/Users/jsgomezc/Data/psilocybin/audio/chacruna_baldwin/06-6p1D7kXSeW6saOJteQ7orb- Alice Coltrane, Pharoah Sanders - Something About John Coltrane.mp3",38.11432473684211,0.6679801257894736,0.008609803063157895,0.006838626731578948,0.04029883568421053,-70.46542326315789,1.2239648300000001,1.0261229842105264,0.10953207731578947,0.11438655,0.1409860863157895,0.29491873736842106,0.44647330736842106,0.5862203110526316,0.7023182615789474,0.7950774184210526,0.8776457642105263,0.9574661342105264,1.0222377789473684,1.0895306684210526,1.141998005263158,1.2047964894736842,1.262785594736842,1.3233775736842104,1.3700245736842105,1.4204058421052632,1.4654910210526315,1.5003848842105263,1.5069653210526317,1.4803011789473686,1.4030260315789473,1.2829262210526315,1.1134830578947368,0.9281281078947368,0.7542321821052632,0.6080049742105263,0.4271249468421053,0.13034701810526314,190.39161705263157,354.6449136842105,713.3904973684212,1454.8330157894736,0.55473742,633.7416310526316,4.0305249000000005,1062898.2578947367,6.046513368421053,98.95498631578947,-0.31166468894736843,0.5115641657894736,0.43591305947368414,16.985619105263158,11.738084563157894,7.171555942105263,0.6897011252631579,0.611691212631579,0.27845902947368417,15.335836315789475,-6.499640315789474,2.2327894752631576,3.9191516761052636,1.051385728263158,-6.211560899999999,2.151490535789474,0.13706275052631578,peak,chacruna_baldwin,1.337848,-2.4616232,6p1D7kXSeW6saOJteQ7orb
7,/Users/jsgomezc/Data/psilocybin/audio/chacruna_baldwin/07-5ten0WtejUB4F0lGVFStyE- NEU! - Hallogallo.mp3,36.076504549999996,0.6707024735,0.010305176915,0.00999282571,0.046314455,-67.4441948,1.0070225335,1.1015156799999999,0.09557141205,0.0911393198,0.1432806665,0.291986427,0.44164606949999996,0.5713717070000001,0.6924229945,0.7955419065,0.8890890585,0.9624509379999999,1.038649055,1.1182550299999998,1.194401525,1.27669988,1.36931059,1.451696895,1.52474057,1.537596655,1.577117005,1.6051327,1.625914985,1.6117738249999998,1.531512905,1.42287345,1.2787685500000001,1.0794975199999999,0.8862855359999999,0.7213856375,0.3722884387,0.1319863124,194.563588,362.9343765,671.29731,1098.9084865,0.5677126754999999,521.072877,4.118889355,494119.19299999997,6.30509977,132.64827155,-0.2955656383,0.4525428955,0.35929309445,26.357244950000002,7.296718175,12.508271445,-2.761969235,-0.19689344225,-0.782497687,4.658796045,-5.98893529,1.284932543,0.15396972550000004,-2.2318053782500002,-8.20157925,-6.472049950000001,-1.9990216216499999,peak,chacruna_baldwin,4.03432,1.1300486,5ten0WtejUB4F0lGVFStyE
8,/Users/jsgomezc/Data/psilocybin/audio/chacruna_baldwin/08-4928fr7y9XjYCip7dT8VUH- NEU! - Sonderangebot.mp3,40.30833006666667,0.6610670033333332,0.007525490963333333,0.006305839923333333,0.027124980933333334,-83.20070311111111,0.4889023333333334,1.0144396955555555,0.0283741075,0.10887182333333333,0.13264404222222223,0.27992830555555553,0.43309919555555554,0.5752390333333334,0.69526831,0.7971628033333333,0.8746182344444444,0.9477200688888888,1.0129428666666667,1.0757563444444445,1.1464042666666667,1.2008428666666666,1.2529404666666666,1.3125575666666667,1.3692133444444443,1.4164370111111113,1.4618852,1.4830950333333333,1.487923888888889,1.4603743555555555,1.3756130777777777,1.2486976,1.0846664555555554,0.9068995866666667,0.7433137522222223,0.6001929333333333,0.13773802157777779,0.04974729205555555,363.7334422222222,591.5200033333334,924.3731622222222,1324.2623322222223,0.15968751844444445,720.9203944444445,4.372242755555556,403389.59111111116,3.846729477777778,46.508344944444445,-0.039048200311111114,0.6308897722222222,0.0736502461,26.587786555555553,-7.539466933333333,5.2422923033333335,-6.686291277777778,2.9539721,-6.0233782,-5.2231871666666665,-12.09304521111111,1.3925833888888888,4.971305998888889,-6.522857233333333,-6.482976422222222,-0.38304744415555547,3.6603177888888885,peak,chacruna_baldwin,-0.30924395,-3.7164016,4928fr7y9XjYCip7dT8VUH
9,/Users/jsgomezc/Data/psilocybin/audio/chacruna_baldwin/09-2NTvSO3YMh7XAUocDbOMm6- NEU! - Weissensee.mp3,70.67888369230769,0.7031340992307692,0.02104799553846154,0.022628556076923077,0.08736479084615384,-31.646515307692308,0.80916296,1.0545096307692308,0.07074736461538461,0.08159794638461539,0.13507992076923078,0.2829809230769231,0.4326889084615385,0.5675768138461539,0.6915901838461539,0.7880755469230769,0.8669794192307693,0.9482676561538461,1.026799646153846,1.0949563615384614,1.1598725461538462,1.2217473076923078,1.2883153461538461,1.3610999384615385,1.4150228384615386,1.4611895692307693,1.491929653846154,1.522992076923077,1.5487822,1.527445553846154,1.4658759692307692,1.348529776923077,1.192001323076923,1.019234336153846,0.8565823153846155,0.7016417407692308,0.17332006623076923,0.08087959707692308,184.33563153846154,329.86314538461534,604.9923738461538,1059.253766153846,0.3334943838461539,494.9015561538462,3.8057609,528627.0015384615,6.291424430769231,99.438973,-0.14887512507692308,0.42415483846153845,0.19864981384615385,26.90096823076923,8.648722307692308,20.07841923076923,-8.868454792307691,5.727550715384615,-4.034454592307692,3.042925683076923,3.0105754384615384,8.384567123076923,-1.9743285315384616,-2.766599176923077,-9.048793184615384,-6.265881253846154,-3.545641525384615,peak,chacruna_baldwin,3.915138,0.59069043,2NTvSO3YMh7XAUocDbOMm6
