song,moods,arousal,valence
/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/06-5TSpunepFlqCREv4bvgvPm- Ashley Bellouin - Bourdon.mp3,"['calm', 'documentary', 'dream', 'emotional', 'nature', 'relaxing', 'soft', 'soundscape', 'uplifting']",2.0071489810943604,3.3996567726135254
/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/17-4Mlr1J0dbMv5mAUZgmN9ks- Julianna Barwick - The Harbinger.mp3,"['background', 'calm', 'documentary', 'emotional', 'hopeful', 'nature', 'relaxing', 'sad', 'soft', 'uplifting']",1.9236646890640259,3.7631213665008545
/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/10-2HHAxkrJbuWZ7JWdxYbsWO- Boards of Canada - Peacock Tail.mp3,"['background', 'calm', 'cool', 'documentary', 'hopeful', 'nature', 'relaxing', 'soft', 'soundscape', 'uplifting']",1.9273277521133423,3.561586856842041
"/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/04-28yHFFhnxKIxiHuIo9IV7y- John Foxx, Harold Budd - Adult.mp3","['documentary', 'dream', 'film', 'meditative', 'nature', 'relaxing', 'sad', 'soundscape', 'space']",2.7882699966430664,3.525827646255493
"/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/31-70fDncrNd9C0yBRdVNVUc2- Ólafur Arnalds, Nils Frahm - 20-17.mp3","['dark', 'documentary', 'dream', 'film', 'meditative', 'movie', 'nature', 'relaxing', 'sad', 'soundscape', 'space']",3.3701515197753906,3.543656349182129
/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/36-6zMRPrZdAw9w1888ZQFteA- Ekkehard Ehlers - Plays John Cassavetes 2.mp3,"['deep', 'dream', 'epic', 'film', 'meditative', 'nature', 'relaxing', 'soundscape', 'space']",3.603893280029297,3.958064317703247
/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/09-0Jb4ZNkcOLkl98RHt5H0pq- Tortoise - I Set My Face to the Hillside.mp3,"['calm', 'cool', 'dream', 'emotional', 'meditative', 'melancholic', 'nature', 'relaxing', 'soft', 'soundscape', 'space']",2.5977447032928467,4.025118350982666
/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/29-2mdRcAFDcRrPjhA0E68e2r- Primitive Motion - Feed the Signals.mp3,"['calm', 'emotional', 'hopeful', 'meditative', 'nature', 'relaxing', 'sad', 'soft', 'uplifting']",2.1053600311279297,3.3976948261260986
/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/12-6cNzmBNjtrrCTbRJ4NITk3- ２８１４ - ふわっと.mp3,"['calm', 'cool', 'dark', 'deep', 'documentary', 'dream', 'emotional', 'film', 'meditative', 'melancholic', 'nature', 'relaxing', 'sad', 'slow', 'soundscape', 'space']",3.7346105575561523,4.527453422546387
/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/01-57lPerHiLsjMX8NSnGZNPW- Rafael Anton Irisarri - Moments Descend On My Windowpane.mp3,"['calm', 'documentary', 'emotional', 'film', 'hopeful', 'inspiring', 'meditative', 'movie', 'nature', 'relaxing', 'sad', 'soft', 'soundscape']",3.132279872894287,3.905794620513916
"/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/03-10IzKDk1QN1GU8SA0zDhVu- John Foxx, Harold Budd - Spoken Roses.mp3","['calm', 'cool', 'dream', 'emotional', 'meditative', 'melancholic', 'nature', 'relaxing', 'sad', 'slow', 'soundscape', 'space']",2.6540637016296387,3.6810622215270996
/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/13-0jV5pkyZByn7pV12Rzbtuu- Keith Fullerton Whitman - Track3a (2waynice).mp3,"['background', 'calm', 'documentary', 'dream', 'emotional', 'happy', 'meditative', 'nature', 'relaxing', 'soft', 'soundscape', 'uplifting']",2.09527587890625,3.820497512817383
/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/42-5iFe3yWEh6lwEzJpOxDJ1d- Felt - A Preacher in New England - Remastered.mp3,"['calm', 'cool', 'dream', 'emotional', 'hopeful', 'meditative', 'melancholic', 'nature', 'relaxing', 'sad', 'soft']",2.5086872577667236,3.492072582244873
"/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/05-50mwGp3PgKoZldhBvfy2cf- Harold Budd, Brian Eno - Against The Sky - 2005 Digital Remaster.mp3","['calm', 'children', 'christmas', 'documentary', 'drama', 'dream', 'emotional', 'epic', 'inspiring', 'meditative', 'nature', 'relaxing', 'romantic', 'sad', 'soft']",1.5075777769088745,3.050557851791382
/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/07-1jXmGkMEGu3rPPtPsN3Yjp- Windy & Carl - Set Adrift.mp3,"['calm', 'cool', 'dream', 'emotional', 'hopeful', 'meditative', 'melancholic', 'nature', 'relaxing', 'sad', 'soft', 'soundscape', 'space']",2.386326551437378,3.662348508834839
