#,playlist,Song,Artist,Time,BPM,Genres,Parent Genres,Album,Album Date,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC,Duration (s),Duration (m),Duration,phase,process?,link
36,compass_v2,Salt Photographs,Brambles,6.9,120,"neoclassical, ambient","Electronic, Classical",Charcoal: Expanded Edition,1/29/16,52,23,76,93,4,0,10,-18,G#/A♭ Major,4,3/30/25,3no88No4QamaIpNEkxPsHU,Xtra Sensory,4B,GB6CD1500057,414,6.900,0:06:54,return,TRUE,https://open.spotify.com/track/3no88No4QamaIpNEkxPsHU
37,compass_v2,Arabesque 1 - 2013 Remaster,Harold Budd,1.9,72,"ambient, minimalism, shoegaze, drone","Electronic, Classical, Rock",Avalon Sutra (2013 Remaster),1/18/05,26,4,97,86,23,0,10,-20,G#/A♭ Minor,4,3/30/25,6inVF4smJ5IgaYgrtHiaOF,Darla,1A,USA4D1328511,113,1.883,0:01:53,return,TRUE,https://open.spotify.com/track/6inVF4smJ5IgaYgrtHiaOF
38,compass_v2,How Vacantly You Stare at Me - 2013 Remaster,Harold Budd,3.9,69,"ambient, minimalism, shoegaze, drone","Electronic, Classical, Rock",Avalon Sutra (2013 Remaster),1/18/05,32,5,99,93,5,0,10,-24,A Minor,3,3/30/25,11tUGfZUkrt31swIFuG7uN,Darla,8A,USA4D1328508,236,3.933,0:03:56,return,TRUE,https://open.spotify.com/track/11tUGfZUkrt31swIFuG7uN
39,compass_v2,Arabesque 3 - 2013 Remaster,Harold Budd,2.7,67,"ambient, minimalism, shoegaze, drone","Electronic, Classical, Rock",Avalon Sutra (2013 Remaster),1/18/05,27,9,96,89,18,0,0,-20,A Minor,3,3/30/25,7AsLKcHPrUZe60x8o47YeQ,Darla,8A,USA4D1328501,160,2.667,0:02:40,return,TRUE,https://open.spotify.com/track/7AsLKcHPrUZe60x8o47YeQ
40,compass_v2,Rue Casimir Delavigne (For Daniel Lentz) - 2013 Remaster,Harold Budd,5.4,75,"ambient, minimalism, shoegaze, drone","Electronic, Classical, Rock",Avalon Sutra (2013 Remaster),1/18/05,25,1,95,97,4,0,10,-26,F Minor,3,3/30/25,2VviNEVTRzsA8La6QA0ryg,Darla,4A,USA4D1328510,324,5.400,0:05:24,return,TRUE,https://open.spotify.com/track/2VviNEVTRzsA8La6QA0ryg
41,compass_v2,Wanderer,Harold Budd,4.3,73,"ambient, minimalism, shoegaze, drone","Electronic, Classical, Rock",The Serpent (In Quicksilver),1981-00-00,16,0,97,96,4,0,10,-27,A Minor,1,3/30/25,0Oq9PmdBbpqHUri8pnEhyE,All Saints Records,8A,USRY20517815,256,4.267,0:04:16,return,TRUE,https://open.spotify.com/track/0Oq9PmdBbpqHUri8pnEhyE
42,compass_v2,Maximum Black,Bohren & Der Club Of Gore,7.7,108,"dark ambient, drone",Electronic,Bohren for Beginners,10/21/16,32,15,84,98,4,0,10,-21,G#/A♭ Minor,4,3/30/25,6aSQ70Lm1dDFZJlKf9wuK5,[PIAS] Recordings Germany,1A,DEU110210006,459,7.650,0:07:39,return,TRUE,https://open.spotify.com/track/6aSQ70Lm1dDFZJlKf9wuK5
43,compass_v2,Be Still,Ex Confusion,5.5,138,"drone, ambient, space music","Electronic, Classical",Embrace,4/3/12,15,3,99,97,6,0,10,-30,G#/A♭ Minor,4,3/30/25,7arBO0khQa2mAENg1rePbE,n5MD,1A,USHMD1219606,328,5.467,0:05:28,return,TRUE,https://open.spotify.com/track/7arBO0khQa2mAENg1rePbE
44,compass_v2,Sagrada Familia,Robert Rich,4.3,72,"ambient, space music, dark ambient, drone, new age","Electronic, New age, Classical",Hearts of Space: Universe 2,6/30/92,21,9,56,91,4,0,0,-27,C Minor,5,3/30/25,1Pne36KcJaaabakm7i4zDj,Valley Entertainment,5A,USAKS0601083,261,4.350,0:04:21,return,TRUE,https://open.spotify.com/track/1Pne36KcJaaabakm7i4zDj
45,compass_v2,Don't Go Where I Can't Find You,"Eraldo Bernocchi,Harold Budd,Robin Guthrie",4.9,75,"ambient, drone, minimalism, shoegaze, space music, dream pop","Electronic, Pop, Classical, Rock",Winter Garden,11/21/11,8,10,99,79,4,0,0,-21,B Major,1,3/30/25,6RtdBwIiYavQENjkE6JCba,Soleil Après Minuit,1B,GBYNS1100189,294,4.900,0:04:54,return,TRUE,https://open.spotify.com/track/6RtdBwIiYavQENjkE6JCba
46,compass_v2,Losing My Breath,"Eraldo Bernocchi,Harold Budd,Robin Guthrie",4.1,74,"ambient, drone, minimalism, shoegaze, space music, dream pop","Electronic, Pop, Classical, Rock",Winter Garden,11/21/11,18,18,97,90,4,0,0,-20,C Major,4,3/30/25,6mdXlrxfRugXebcFmux55L,Soleil Après Minuit,8B,GBYNS1100190,244,4.067,0:04:04,return,TRUE,https://open.spotify.com/track/6mdXlrxfRugXebcFmux55L
47,compass_v2,Harmony and the Play of Light,"Eraldo Bernocchi,Harold Budd,Robin Guthrie",5.6,86,"ambient, drone, minimalism, shoegaze, space music, dream pop","Electronic, Pop, Classical, Rock",Winter Garden,11/21/11,13,15,98,85,4,0,10,-20,G Minor,4,3/30/25,6mqxQL1XCgB9sNLcqzoEK7,Soleil Après Minuit,6A,GBYNS1100193,334,5.567,0:05:34,return,TRUE,https://open.spotify.com/track/6mqxQL1XCgB9sNLcqzoEK7
48,compass_v2,La Luna,"Steve Roach,Robert Rich",10.7,67,"space music, ambient, drone, dark ambient, new age","Electronic, New age, Classical",Strata,8/20/90,6,8,95,98,4,0,0,-27,G Minor,4,3/30/25,7tkTF6IxB6aAgV4zeifoyx,Valley Entertainment,6A,USAKS0600078,642,10.700,0:10:42,return,TRUE,https://open.spotify.com/track/7tkTF6IxB6aAgV4zeifoyx
49,compass_v2,Jane 2,Harold Budd,4.9,68,"ambient, minimalism, shoegaze, drone","Electronic, Classical, Rock",Jane 1-11,5/27/13,16,0,99,89,4,0,10,-42,C Major,4,3/30/25,5ninNGGy8iR9tv3USENLKb,Darla,8B,USA4D1328102,297,4.950,0:04:57,return,TRUE,https://open.spotify.com/track/5ninNGGy8iR9tv3USENLKb
50,compass_v2,September Morn,David Darling,4.6,71,new age,New age,Prayer For Compassion,1/1/09,13,9,95,93,4,0,0,-24,A Minor,3,3/30/25,0QUCIyqqwBf0ETy0SmZVdO,Curve Blue,8A,USWOR0923410,276,4.600,0:04:36,return,TRUE,https://open.spotify.com/track/0QUCIyqqwBf0ETy0SmZVdO
51,compass_v2,Prayer For Compassion,David Darling,4.3,88,new age,New age,Prayer For Compassion,1/1/09,17,11,94,88,6,0,0,-20,D Major,3,3/30/25,6rEQh01433sbyck4prl39p,Curve Blue,10B,USWOR0923403,259,4.317,0:04:19,return,FALSE,https://open.spotify.com/track/6rEQh01433sbyck4prl39p
52,compass_v2,When We Forgive,David Darling,4.1,81,new age,New age,Prayer For Compassion,1/1/09,14,8,85,92,12,0,0,-25,D Major,3,3/30/25,2IUxS3xF0cNYLEbgUXir1R,Curve Blue,10B,USWOR0923401,243,4.050,0:04:03,return,TRUE,https://open.spotify.com/track/2IUxS3xF0cNYLEbgUXir1R
53,compass_v2,Spiegel im spiegel,"Louise-Andrée Baril,Arvo Pärt,Angèle Dubeau",8.4,89,"chamber music, minimalism, classical",Classical,Moods: Relaxation,8/30/11,14,6,83,1,7,0,10,-29,F Major,3,3/30/25,2qbZHdbaMMCb0bWIemB54Y,ANALEKTA,7B,CALC40600383,504,8.400,0:08:24,return,FALSE,https://open.spotify.com/track/2qbZHdbaMMCb0bWIemB54Y
54,compass_v2,"Over There, It's Raining",Nils Frahm,3.1,85,"neoclassical, minimalism, ambient","Electronic, Classical",Spaces,11/18/13,20,1,99,93,19,0,10,-35,C♯/D♭ Major,4,3/30/25,7agPIlFzTpgKnqyxUVt7aM,Erased Tapes,3B,GBWZD1305509,187,3.117,0:03:07,return,TRUE,https://open.spotify.com/track/7agPIlFzTpgKnqyxUVt7aM
55,compass_v2,Common Threads,Bobby McFerrin,4.3,54,,,Medicine Music,1/1/90,13,9,95,13,5,0,10,-20,C♯/D♭ Major,4,3/30/25,29Kn3OIyJwrUMf6CzvLgeq,Parlophone Catalogue,3B,USEM39000479,257,4.283,0:04:17,return,TRUE,https://open.spotify.com/track/29Kn3OIyJwrUMf6CzvLgeq
